
11520 atoms
2 atom types
   0.0000000000   80.0046997070 xlo xhi
   0.0000000000   16.8663997650 ylo yhi
   0.0000000000   77.4965972900 zlo zhi
   0.0000000000    0.0000000000    0.0000000000 xy xz yz

Masses

1 58.690000
2 16.000000

Atoms # spin

   139      1   76.68051000 	2.09632000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   140      1   76.68051000 	10.52952000 	2.67402000    -0.51638874 -0.81647984 -0.25826989  1.2737
   141      1   70.01371000 	2.09632000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   142      1   70.01371000 	10.52952000 	2.67402000    -0.51638874 -0.81647984 -0.25826989  1.2737
   143      1   56.67933000 	2.09632000 	2.67402000      -0.51638874 -0.81647984 -0.25826989  1.2737
   144      1   56.67933000 	10.52952000 	2.67402000    -0.51638874 -0.81647984 -0.25826989  1.2737
   145      1   21.34365000 	8.42122000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   146      1   21.34365000 	16.85442000 	3.34049000    -0.51638874 -0.81647984 -0.25826989  1.2737
   147      1   8.01007000 	8.42122000 	3.34049000        -0.51638874 -0.81647984 -0.25826989  1.2737
   148      1   8.01007000 	16.85442000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   149      1   14.67686000 	8.42122000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   150      1   14.67686000 	16.85442000 	3.34049000    -0.51638874 -0.81647984 -0.25826989  1.2737
   151      1   1.34248000 	8.42122000 	3.34049000        -0.51638874 -0.81647984 -0.25826989  1.2737
   152      1   1.34248000 	16.85442000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   153      1   48.01242000 	8.42122000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   154      1   48.01242000 	16.85442000 	3.34049000    -0.51638874 -0.81647984 -0.25826989  1.2737
   155      1   34.67804000 	8.42122000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   156      1   34.67804000 	16.85442000 	3.34049000    -0.51638874 -0.81647984 -0.25826989  1.2737
   157      1   41.34483000 	8.42122000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   158      1   41.34483000 	16.85442000 	3.34049000    -0.51638874 -0.81647984 -0.25826989  1.2737
   159      1   28.01125000 	8.42122000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   160      1   28.01125000 	16.85442000 	3.34049000    -0.51638874 -0.81647984 -0.25826989  1.2737
   161      1   74.68039000 	8.42122000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   162      1   74.68039000 	16.85442000 	3.34049000    -0.51638874 -0.81647984 -0.25826989  1.2737
   163      1   61.34601000 	8.42122000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   164      1   61.34601000 	16.85442000 	3.34049000    -0.51638874 -0.81647984 -0.25826989  1.2737
   165      1   68.01360000 	8.42122000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   166      1   68.01360000 	16.85442000 	3.34049000    -0.51638874 -0.81647984 -0.25826989  1.2737
   167      1   54.67921000 	8.42122000 	3.34049000      -0.51638874 -0.81647984 -0.25826989  1.2737
   168      1   54.67921000 	16.85442000 	3.34049000    -0.51638874 -0.81647984 -0.25826989  1.2737
